name,brewery,style,release_date,rating,ibu,hops,malts,additives,alcohol,og,personal_rating
Darklite,Одна тонна,IPA - Cold,2024-01-25,3.887,,,,,6.0,,4
Coconut,Antidot Ciders,Cider - Other Fruit,2020-04-22,3.608,,,,,5.5,,4
Zoigling,Plague Brew,Historical Beer - Zoigl,2023-11-27,3.824,11.0,,,,5.5,,4
Belgian Kriek,Brasserie Lefebvre,Fruit Beer,,3.408,,,,,3.5,,2
Сергей Б.,Rewort Brewery,Porter - Baltic,2023-12-08,3.908,30.0,,,,6.8,,4
Русский Имперский Стаут,Пивоварня Якорь,Stout - Russian Imperial,2019-09-16,3.575,,,,,6.8,,4
Styrsudden,Konix Brewery,Porter - Imperial / Double Baltic,2020-11-26,4.049,25.0,,,,6.8,,4
Cherry Holic,Sindrom Brewery,Sour - Other,2023-07-31,3.564,,,,,5.5,,2
Limastic,Sindrom Brewery,Sour - Fruited,2022-09-15,4.034,,,,,5.5,,2
Herkenrode Abbey Noctis,Brouwerij Cornelissen,Brown Ale - Belgian,2011-10-31,3.395,28.0,,,,6.8,,4
Herkenrode Abbey Cister,Brouwerij Cornelissen,Belgian Blonde,2017-07-16,3.413,30.0,,,,6.5,,4
СЕТТЕР,Бакунин,Red Ale - Irish,2023-03-23,3.64,28.0,,,,4.5,,4
Heller Bock (Islay Chips) 2023,Red Button Brewery,Bock - Hell / Maibock / Lentebock,2023-09-21,3.644,,,,,6.8,,4
Королева,Brewlok,Brown Ale - Other,2023-12-01,3.524,,,,,5.3,,3
Ureich Hefeweizen Hell,Privatbrauerei Eichbaum,Wheat Beer - Hefeweizen,2017-01-30,3.043,13.0,,,,5.2,,3
Аліварыя Пітнае,Аліварыя,Lager - Pale,2023-04-08,2.829,11.0,,,,4.4,,4
