name,brewery,style,release_date,rating,ibu,hops,malts,additives,alcohol,og,personal_rating
Калекцыя майстра Hoppy Lager,Лідскае піва,Lager - IPL (India Pale Lager),2023-02-28,3.529,25.0,"Sabro,Ella,Perle",,,5.0,,4
NEIPA,Hrew Brew,IPA - New England / Hazy,2019-08-13,3.615,10.0,,,,6.0,,3
Hazy Jane,BrewDog,IPA - New England / Hazy,2019-12-02,3.673,,,,,5.0,,4
SOUP IPA,Garage Beer Co.,IPA - New England / Hazy,2017-01-04,3.94,,,,,6.0,,5
Kasteel Rouge,Brouwerij Van Honsebrouck,Fruit Beer,,3.583,8.0,,,,6.9,,4
Kasteel Tripel,Brouwerij Van Honsebrouck,Belgian Tripel,2010-11-12,3.632,30.0,,,,6.8,,4
Goose IPA,Goose Island,IPA - English,,3.509,55.0,"Pilgrim,Celeia,Cascade,Centennial","Pale Ale,Munich,Caramel",,5.9,,4
Pale Ale,Amundsen Bryggeri & Spiseri,Pale Ale - English,2011-11-28,3.471,36.0,,,,4.5,,4
Hobgoblin IPA,Wychwood Brewery,IPA - English,2017-06-15,3.506,50.0,"Fuggle,Styrian Golding",,,5.6,,4
IPA,13 Litar,IPA - American,2016-03-24,3.901,50.0,"Premiant,Simcoe,Kazbek,Jarrylo","Pale Ale,Pilsner,Munich,Caraaroma,Carared",,5.1,15.0,4
IPA,13 Litar,IPA - American,2016-03-24,3.901,50.0,"Premiant,Simcoe,Kazbek,Jarrylo","Pale Ale,Pilsner,Munich,Caraaroma,Carared",,5.1,15.0,4
Mitrenha: Citra & Mosaic & Simcoe,Malanka,IPA - Imperial / Double,2022-05-04,4.21,80.0,"Citra,Mosaic,Simcoe",Pilsner,,6.8,17.0,4
Zavieja: Citra & Mosaic,Malanka,IPA - Imperial / Double New England / Hazy,2022-02-04,4.458,,"Citra,Mosaic","Pilsner,Wheat,Flaked Oats",,6.8,18.5,4
Murder IPA Birthday Edition,AF Brew,IPA - Triple,2022-01-28,4.046,200.0,,,,6.8,,4
Blueberry Double IPA,Salden’s Brewery,IPA - Imperial / Double,2021-10-25,3.503,100.0,"Citra,Mosaic",,Blueberry,6.8,,4
Mosaic IPA,AF Brew,IPA - American,2013-02-13,3.893,73.0,,,,6.7,,4
RUSTY,Ostrovica,IPA - Imperial / Double New England / Hazy,2022-02-18,3.826,,,,,6.8,,4
Bad Beat: Citra & Sabro,Midnight Project,IPA - Imperial / Double,2021-11-05,4.079,70.0,"Citra,Sabro",,,6.8,,4
Mysterious Island Talus & Galaxy,Velka Morava,IPA - New England / Hazy,2021-04-01,3.917,,,,,6.6,,4
Sour Russian Imperial Stout Grapefruit,Salden’s Brewery,Stout - Russian Imperial,2021-12-09,3.558,,,,,6.8,,4
Карамбуляж,Chibis Brewery,IPA - Imperial / Double,2017-09-21,3.774,70.0,,,,6.8,,4
Киберпанк,Alaska Brewery,IPA - Imperial / Double,2020-12-11,3.853,80.0,,,,6.8,,4
Drunken Parrot,Salden’s Brewery,IPA - Black / Cascadian Dark Ale,2014-08-26,3.873,85.0,,,,6.8,,4
Quadrupel,Browar Zamkowy Cieszyn,Belgian Quadrupel,2020-12-02,,35.0,,,,6.8,,4
Tripel,Brouwerij St. Bernardus,Belgian Tripel,,3.754,30.0,,,,6.8,,4
Elvis Juice 5.1%,BrewDog,IPA - American,2020-10-27,3.491,40.0,"Amarillo,Citra,Magnum,Mosaic,Simcoe",,,5.1,,4
Punk IPA,BrewDog,IPA - American,2010-08-21,3.709,45.0,,,,5.6,,4
Parhelion,Plan B Brewery,IPA - Imperial / Double,2021-05-06,3.951,70.0,"Simcoe,Citra,Mosaic",,,6.8,,4
Hit the Magma,Sabotage,Sour - Fruited,2021-06-26,3.982,,,,"Orange,Grapefruit,Rosemary",6.5,,4
Orange Double IPA,Salden’s Brewery,IPA - Imperial / Double,2021-11-03,3.85,100.0,,,,6.8,,4
Eat the Dust! DDH HBC 630,AF Brew,IPA - Imperial / Double New England / Hazy,2021-10-19,3.785,40.0,HBC630,,,6.8,,4
Tangerine IPA,Salden’s Brewery,IPA - American,2018-04-26,3.688,60.0,"Cascade,Chinook",,Tangerine,6.8,,4
Orange IPA,Salden’s Brewery,IPA - American,2021-08-23,3.797,60.0,"Cascade,Chinook",,Orange Peel,6.8,,5
Strawberry Double IPA,Salden’s Brewery,IPA - Imperial / Double,2016-06-16,3.925,100.0,"Citra,Mosaic",,Strawberry,6.8,,4
Blackberry Mead,Степь и ветер,Mead - Melomel,2018-03-13,4.115,,,,Blackberry,6.0,,4
Lucha Libre,Selfmade Brewery,Sour - Other,2021-07-15,3.993,10.0,,,,6.6,,4
Aerials,Coven Brewery,Sour - Fruited Gose,2021-07-08,3.943,10.0,,,"Plum,Spices",6.9,,5
Clockwork IPA,TBP,IPA - American,2021-07-09,3.74,40.0,,,,6.0,,3
Beer With Taste of Beer: American IPA,Пивная диета,IPA - American,2020-07-19,3.968,55.0,,,,6.8,,4
Utsukushiki Hitobito No Uta,Coven Brewery,Sour - Fruited Gose,2021-04-22,4.01,,,,,6.9,,4
Spicy Bloody Roots,Coven Brewery,Sour - Traditional Gose,2021-04-22,3.984,,,,"Tomato,Red Pepper,Horseradish",6.5,,4
Breakfast Basics: PBJ,Outline,Sour - Fruited,2021-07-12,4.134,,,,,6.8,,5
Beer With Taste of Beer: Gose,Пивная диета,Sour - Traditional Gose,2020-02-28,4.077,7.0,,,"Himalayan Salt,Coriander",4.6,,4
Primal Rage,Selfmade Brewery,IPA - Imperial / Double New England / Hazy,2021-05-22,3.821,45.0,,,,6.8,,4
Комета IPA,New Riga’s Brewery,IPA - American,2017-01-20,3.645,65.0,"Amarillo,Cascade,Centennial,Citra,Chinook",,,6.0,,4
RSSCRTC,"AF Brew,North Brewing Co.",IPA - Imperial / Double New England / Hazy,2021-05-13,3.804,30.0,"Galaxy,Citra,Nelson Sauvin",,,6.8,,4
Last Slice,Selfmade Brewery,Sour - Other,2021-04-18,3.653,14.0,,,,6.3,,4
Oak Smoked Tomato Gose Light Chili Italian Edition,Salden’s Brewery,Spiced / Herbed Beer,2020-05-03,3.997,,,,,5.0,,5
Simcoe & Mosaic Double IPA / Extra Hops Series,Salden’s Brewery,IPA - Imperial / Double,2016-11-16,3.998,150.0,,,,6.8,,4
Eat the Dust! DDH Talus,AF Brew,IPA - Imperial / Double New England / Hazy,2021-05-15,3.978,40.0,Talus,,,6.8,,5
Ипать-колотить,Khoffner,IPA - American,2021-05-04,3.632,45.0,,,,6.5,,4
Role Play: Pineapple & Mango,ColdRiver,Sour - Fruited,2021-05-18,4.064,,,,,6.0,,5
Grapefruit Mead,Степь и ветер,Mead - Melomel,2019-10-07,4.111,,,,Grapefruit,6.7,,4
Singularity Single Hop IPA (Comet),Jaws,IPA - American,2021-04-13,3.691,50.0,Comet,,,5.7,,4
Double Dead,Kontrabas Brewery,IPA - Imperial / Double,2019-04-30,3.89,100.0,,,,6.8,,4
Феромоны,Alaska Brewery,IPA - New England / Hazy,2021-01-21,3.398,30.0,"Pacific Sunrise,Galaxy,Cascade",,,6.5,16.0,4
Triple Red IPA Chili Ed.,Salden’s Brewery,IPA - Triple,2020-12-30,3.779,200.0,"Waimea,Chinook,Cascade,Centennial",,Chili,6.8,,5
Zoom Boom,"AF Brew,Pühaste",IPA - Imperial / Double New England / Hazy,2021-03-15,3.788,30.0,"Citra,Mosaic,Simcoe,Sabro",,,6.8,,4
Last Goodbye,Sabotage,IPA - Imperial / Double,2018-11-01,3.843,70.0,"Citra,Centennial,Simcoe",,,6.8,,4
Shoegaze & Beyond,Zagovor Brewery,IPA - Triple New England / Hazy,2021-01-26,4.151,40.0,Citra,,,6.8,22.0,4
Утро Туманное,Одна тонна,IPA - New England / Hazy,2019-05-09,3.807,,,,,6.7,,4
Green Supremacy!,AF Brew,IPA - Imperial / Double New England / Hazy,2021-02-06,3.855,30.0,"Citra,Mosaic,Sabro",,,6.8,,4
Party Hard 2021,Одна тонна,IPA - Imperial / Double,2021-02-03,3.915,80.0,,,,6.8,,4
Emergency Exit,4BREWERS,IPA - Quadruple,2021-02-15,4.026,100.0,,,,6.8,,4
IPA,13 Litar,IPA - American,2016-03-24,3.901,50.0,"Premiant,Simcoe,Kazbek,Jarrylo","Pale Ale,Pilsner,Munich,Caraaroma,Carared",,5.1,15.0,4
Switch OFF,Chibis Brewery,IPA - Imperial / Double,2019-12-19,3.754,50.0,,,,6.8,,3
Check Out,Jaws,IPA - Brut,2018-11-16,3.709,20.0,"Nelson Sauvin,Perle",Pilsner,,6.8,13.5,4
Pomegranate Pyment,Степь и ветер,Mead - Pyment,2020-11-09,4.311,,,,,6.8,,4
Fatum,Paradox,IPA - Imperial / Double,2020-10-08,3.85,75.0,,,,6.8,18.0,4
F*ck the Dust! DDH Citra,AF Brew,IPA - Triple New England / Hazy,2019-05-08,4.125,40.0,,,,6.8,,5
Chori Chori Chupke Chupke,AF Brew,IPA - American,2020-11-27,3.766,73.0,Cashmere,,,6.7,,4
Grape Babe,Rewort Brewery,IPA - Imperial / Double New England / Hazy,2019-12-04,3.823,48.0,"Idaho 7,Simcoe",,Grape,6.8,,4
Tomato Method (Smoky Hot Edition),Selfmade Brewery,Sour - Traditional Gose,2020-07-09,4.017,20.0,,,,5.6,,4
Jack Hammer,BrewDog,IPA - American,2012-07-06,3.77,250.0,,,,6.8,,4
Hyper India DIPA,Jaws,IPA - Imperial / Double,2018-12-07,3.886,130.0,"Centennial,El Dorado,Idaho 7","Pale Ale,Brown Supreme",,6.8,18.5,4
Tshawytscha,Jaws,IPA - Imperial / Double,2016-05-24,3.93,160.0,Chinook,,,6.8,,4
Double Punk,BrewDog,IPA - Imperial / Double,2020-06-18,3.712,60.0,,,,6.8,,4
Fridtjof N.,Rewort Brewery,IPA - American,2018-08-28,3.817,50.0,Mosaic,,,6.0,17.0,4
Blowing Up: Strawberry Chokeberry,Stamm Brewing,Sour - Fruited,2020-08-13,4.013,,,,"Strawberry,Chokeberry",6.0,13.0,4
Jürgil,Snowcap Brewing,IPA - Triple,2020-10-21,3.832,60.0,,,,6.8,,4
Oktober,Dreamteam Brew,Märzen,2020-10-03,3.911,,,,,5.5,,4
Triple Red IPA,Salden’s Brewery,IPA - Triple,2016-11-02,3.962,200.0,,,,6.8,,4
4 In 1 Super Sour,Stamm Brewing,Sour - Fruited,2020-01-24,4.199,,,,"Pineapple,Blood orange,Passion fruit,Apricot",6.8,,4
Kurchatovium,Nuclear Brewery,Pale Ale - New Zealand,2018-04-28,3.547,29.0,"Ella,Enigma,Topaz",,,5.4,,3
Kveik Me Up When September Ends,AF Brew,IPA - Farmhouse,2020-10-01,3.836,20.0,"Citra,Sabro",,,6.5,,4
Against Milk!,Zagovor Brewery,IPA - Milkshake,2017-02-16,3.961,65.0,,,,6.5,,4
Battle ✊,Rewort Brewery,IPA - American,2020-08-20,3.842,36.0,"Amarillo,Mosaic",,,6.5,,4
White IPA,Blue Moon Brewing Company,IPA - White / Wheat,2014-08-09,3.276,45.0,"Simcoe,Cascade,Citra,Huell Melon",,,5.9,,4
Smalti,Zagovor Brewery,IPA - Imperial / Double New England / Hazy,2018-10-16,4.133,40.0,Mosaic,,,6.8,19.0,4
PP-IPA,Бакунин,IPA - Session,2020-09-10,3.266,18.0,,,,3.0,,4
Not On Tour,"Selfmade Brewery,Zagovor Brewery",IPA - Imperial / Double New England / Hazy,2020-08-03,3.969,40.0,"Idaho 7,Citra,Mosaic",,,6.8,19.0,5
Lockdown,13 Litar,IPA - American,2020-08-13,3.827,40.0,Amarillo,,,6.3,,4
Mägrii,Snowcap Brewing,IPA - Other,2020-08-21,3.926,,,,,6.8,,3
