name,brewery,style,release_date,rating,ibu,hops,malts,additives,alcohol,og,personal_rating
Lichamanka: Eclipse,Malanka,IPA - Imperial / Double,2024-11-06,4.434,100.0,,,,6.8,,4
Noč: Tmavý Ležák,Malanka,Lager - Tmavé (Czech Dark),2024-10-01,4.133,30.0,Saaz,"Pilsner,Munich,Caramunich,Chocolate",,4.8,13.0,4
Vertigo,GAS Brew,Stout - Russian Imperial,2023-11-14,3.873,,,,,6.8,,4
Magic Secret,Carnival Brewery,Stout - Milk / Sweet,2023-07-02,3.45,15.0,,,,6.0,,4
Chiemsee Dark,Camba Bavaria,Schwarzbier,2022-04-08,3.525,17.0,,,,5.6,,4
Oblivion,Alt Bier,Stout - Russian Imperial,2019-12-16,4.073,50.0,,,,6.8,,4
Banshee (Ardbeg Freeze Edition),"Punchiller,Boxing Wizard Brewery",Freeze-Distilled Beer,2024-10-18,4.972,,,,,6.8,,5
Moxie,Boxing Wizard Brewery,Bitter - Extra Special / Strong (ESB),2022-04-22,3.982,30.0,,,,5.4,,3
Frozen Firewall,"Zagovor Brewery,4BREWERS",IPA - Black / Cascadian Dark Ale,2024-09-26,4.006,45.0,,,,6.5,,4
Spa (Спа),Brauning Bier,IPA - Belgian,2024-11-05,3.655,64.0,,,,6.9,,4
Non Stop Energy,Jungle Brewery,IPA - American,2024-11-04,4.325,70.0,,,,6.1,,4
Vortex IPA HAS Brew Citra&Mosaic,HAS Brew,IPA - American,2024-10-23,3.409,50.0,,,,6.4,,4
Land Van De Meester,"Brewery De Meester,Brouwerij Alvinne",Belgian Strong Dark Ale,2024-03-21,3.845,,,,,6.8,,4
Lager,13 Litar,Pilsner - Czech / Bohemian,2015-12-18,3.424,,,,,4.5,,3
Wilderer Weisse,Camba Bavaria,Wheat Beer - Dunkelweizen,2012-11-22,3.363,20.0,,,,5.6,,4
Dunkel,Augustiner-Bräu München,Lager - Munich Dunkel,2011-03-06,3.603,,,,,5.6,,4
Солнечные дни,"Chibis Brewery,Punchiller",IPA - New England / Hazy,2024-09-23,4.196,,,,,6.7,,4
Kellerbier,Brauhaus Riegele,Kellerbier / Zwickelbier,2011-06-04,3.537,,,,,5.0,,4
Vyspa: Mosaic & Cascade,Malanka,Pale Ale - New England / Hazy,2024-10-17,4.147,40.0,"Mosaic,Cascade","Pilsner,Wheat,Flaked Wheat",,5.4,13.0,4
Crystal Flash,Jungle Brewery,IPA - Imperial / Double,2024-10-28,4.496,100.0,"Chinook,Warrior,Strata,Mosaic",,,6.8,20.0,4
Flauros,Midnight Project,Stout - Imperial / Double Milk,2024-10-31,4.305,35.0,,,,6.8,,4
Bavarian Smoked Bier,Privatbrauerei Kaiserdom,Rauchbier,2024-08-12,3.797,,,,,5.3,,4
Mlosć: Vista & Cascade,Malanka,Pale Ale - American,2024-10-16,4.246,40.0,"Vista,Cascade",Pilsner,,5.4,13.0,4
Cyklon: Medusa,Malanka,IPA - New England / Hazy,2024-10-14,4.249,40.0,Medusa,"Pilsner,Wheat,Flaked Wheat,Flaked Oats",,6.8,17.0,4
Chaliera: El Dorado,Malanka,IPA - American,2024-10-17,4.265,80.0,El Dorado,Pilsner,,6.6,16.0,4
Berliner Kindl Jubiläums Pilsener,Berliner-Kindl-Schultheiss-Brauerei,Pilsner - German,2011-02-12,3.113,27.0,,,,5.1,,3
Abt Andreas Traditionstrunk,Privatbrauerei Hösl,Lager - Dark,2012-07-10,3.154,25.0,,,,4.9,,3
Mein Zoigl,Privatbrauerei Hösl,Historical Beer - Zoigl,2022-02-11,3.305,12.0,,,,5.5,,4
Apple Boom,Веселово,Cider - Dry,2022-07-09,3.161,,,,,5.7,,3
Tiramisu Bastard,Selfmade Brewery,Stout - Pastry,2024-10-17,4.038,20.0,,,,6.5,,4
Темный опыт: Молочный стаут «Шоколадно-ванильный чизкейк»,Nuclear Brewery,Stout - Milk / Sweet,2024-09-25,3.73,15.0,,,,6.0,,4
Picklester,Selfmade Brewery,Sour - Other Gose,2024-09-26,4.031,5.0,,,,4.6,,4
Smarahd: Wet Hop Pils,Malanka,Pilsner - German,2024-10-14,4.227,40.0,"Magnum,Tettnanger",Pilsner,,4.8,14.0,4
Swordkeeper,Selfmade Brewery,IPA - Imperial / Double New England / Hazy,2024-08-12,4.042,55.0,,,,6.8,,4
Mitrenha: Citra & Simcoe,Malanka,IPA - Imperial / Double,2024-10-07,4.375,80.0,"Citra,Simcoe",Pilsner,,6.8,18.5,4
