beer_id,name,brewery,style,alcohol,release_date,rating,ibu,hops,malts,additives
22532,Buckle Up!,Ostrovica,IPA - Imperial / Double,6.8,2020-04-22,3.91,74,"Chinook, Cascade",unknown,unknown
22533,All Together,Ostrovica,IPA - American,6.2,2020-04-21,3.95,49,"Citra, Simcoe, Mosaic, Cascade",unknown,unknown
22534,Champ,Ostrovica,IPA - Imperial / Double,6.8,2020-04-14,3.9,74,unknown,unknown,unknown
22535,Lunatic,Ostrovica,Pale Ale - American,5.5,2020-04-07,3.91,35,"Sabro, Motueka, Mosaic, Zappa",unknown,unknown
22536,Honey Gems,Ostrovica & Plague Brew,Mead - Melomel,6.8,2020-03-16,4.03,12,unknown,unknown,Raspberry
22537,Zapopan,Ostrovica,IPA - New England / Hazy,6.8,2020-03-03,4.02,32,"Zappa, Sabro",unknown,unknown
22538,Wikkie,Ostrovica,Sour - Other,6.8,2020-03-03,3.89,16,unknown,unknown,"Guava, Coconut, Strawberry"
22539,Ogre,Ostrovica & Plague Brew,Historical Beer - Dampfbier,6.5,2020-03-03,3.81,32,unknown,unknown,unknown
22540,Ray the Giant,Ostrovica,Stout - Imperial / Double,6.8,2020-03-02,4.05,48,unknown,unknown,unknown
22541,Standout,Ostrovica,IPA - Imperial / Double New England / Hazy,6.8,2020-02-11,3.83,39,unknown,unknown,unknown
22542,Fresh Oil,Ostrovica,IPA - Imperial / Double,6.8,2020-02-10,3.96,50,"Simcoe, Amarillo",unknown,unknown
22543,I Felt Your Shape: Mosaic & Galaxy,Ostrovica,IPA - New England / Hazy,6.8,2020-02-05,3.81,32,"Mosaic, Galaxy",unknown,unknown
22544,Tropical Blow,Plague Brew,Mead - Melomel,6.8,2022-03-10,4.04,12,unknown,unknown,unknown
22545,Spin Vibe: Melon Quince,Plague Brew & Carousel Brewery,Sour - Fruited Berliner Weisse,5.3,2022-03-09,4.23,5,unknown,unknown,"Melon, Quince"
22546,Baltic Bay,Plague Brew,Porter - Baltic,6.8,2022-03-09,3.74,24,unknown,unknown,unknown
22547,Nemor: Dr Rudi Motueka Nectaron,Plague Brew,IPA - New Zealand,6.8,2022-02-17,3.95,50,unknown,unknown,unknown
22548,Saltlake,Plague Brew,Sour - Traditional Gose,4.5,2022-02-17,3.96,7,unknown,unknown,unknown
22549,Gold Peat,Plague Brew,Smoked Beer,6.8,2022-02-17,3.93,32,unknown,unknown,unknown
22550,Dreher,Plague Brew,Lager - Vienna,5.5,2022-02-17,3.86,21,unknown,unknown,unknown
22551,Quince Prince,Plague Brew,Cider - Traditional / Apfelwein,4.5,2022-02-17,3.96,13,unknown,unknown,unknown
22552,Hopshot Simcoe,Plague Brew,IPA - New England / Hazy,6.5,2022-02-17,3.63,32,unknown,unknown,unknown
22553,Right Solution Citra Simcoe,Plague Brew,IPA - American,6,2022-02-17,3.86,50,unknown,unknown,unknown
22554,Tripel D,Silent Jazz Brew & Plague Brew,Belgian Tripel,6.8,2022-02-15,3.47,27,unknown,unknown,unknown
22555,"Minigun: Citra, Southern Cross, Wakatu",Plague Brew,IPA - Triple New England / Hazy,6.8,2022-02-12,3.82,39,unknown,unknown,unknown
22556,"Boston: Idaho 7, Idaho Gem, Citra",Plague Brew,IPA - Imperial / Double New England / Hazy,6.8,2022-01-18,3.8,39,unknown,unknown,unknown
22557,Lupulin Powder: Citra,Plague Brew,IPA - Imperial / Double,6.8,2022-01-18,3.83,70,unknown,unknown,unknown
22558,Truffle Forester,Plague Brew,Sour - Other Gose,5.2,2022-01-18,4.13,7,unknown,unknown,unknown
22559,Freiwald,Plague Brew,Lager - Helles,5.2,2022-01-18,3.88,19,unknown,unknown,unknown
22560,Inkeri,Plague Brew,Sour - Fruited,5,2022-01-18,4.12,5,unknown,unknown,unknown
22561,Regent,Plague Brew,Porter - Other,6.8,2021-12-21,3.81,50,unknown,unknown,unknown
22562,Beehive Watermelon Rosehip,Plague Brew,Mead - Melomel,6.8,2021-12-21,3.9,12,unknown,unknown,unknown
22563,Beehive Melon Pineapple,Plague Brew,Mead - Melomel,6.8,2021-12-21,4.35,12,unknown,unknown,unknown
22564,Вероника решает умереть (Coffee Version),Plan B Brewery,Stout - Russian Imperial,6.8,2016-09-20,4.05,52,unknown,unknown,unknown
22565,Вероника решает умереть,Plan B Brewery,Stout - Russian Imperial,6.8,2016-08-04,4.08,52,unknown,unknown,unknown
22566,Belgian Fleur,Plan B Brewery,Belgian Strong Dark Ale,6.8,2016-07-28,3.89,26,unknown,unknown,unknown
22567,Rise of the Zombies,Plan B Brewery,Pale Ale - American,6.3,2016-02-26,3.86,50,unknown,unknown,unknown
22568,Слеза Комсомолки,Plan B Brewery,Pale Ale - Belgian,6.8,2015-07-06,3.78,35,unknown,unknown,unknown
22569,Отличный план,Plan B Brewery,IPA - American,6.8,2015-05-27,3.95,70,unknown,unknown,unknown
22570,Bathory,Plan B Brewery,Red Ale - American Amber / Red,5.7,2015-04-20,3.8,50,"Simcoe, Citra",unknown,unknown
22571,Satan Infernalis,Plan B Brewery,Stout - Russian Imperial,6.8,2015-04-10,4.15,55,unknown,unknown,unknown
22572,Солнечный ветер,Plan B Brewery,Pale Ale - American,4.8,2015-04-04,3.81,35,unknown,unknown,unknown
22573,Бэрримор,Plan B Brewery,Stout - Oatmeal,6.5,2015-03-21,3.73,26,unknown,unknown,unknown
22574,Bathory Red Ale,Plan B Brewery,Red Ale - American Amber / Red,5.7,2014-12-27,3.88,50,unknown,unknown,unknown
22575,Hop-n-Roll Rye IPA,Plan B Brewery,IPA - Rye,6.9,2014-11-18,3.84,65,unknown,unknown,unknown
22576,Ковбой Мальборо,Plan B Brewery,IPA - American,6.5,2014-05-08,3.93,50,unknown,unknown,unknown
22577,Simple Honey: Buckwheat & Goldenrod,Punchiller,Mead - Traditional,6.8,2021-08-26,4.83,10,unknown,unknown,unknown
22578,Simple Honey: Buckwheat,Punchiller,Mead - Traditional,6.8,2021-08-19,4.76,10,unknown,unknown,unknown
22579,Simple Honey: Meadow Herbs #7,Punchiller,Mead - Traditional,6.8,2021-08-19,4.86,10,unknown,unknown,unknown
22580,Melomel: Buckwheat Honey and Cherry,Punchiller,Mead - Melomel,6.8,2021-08-10,4.62,12,unknown,unknown,Cherry
