Пиво,Пивоварня,Стиль,ABV,IBU,Рейтинг
Игра теней,Atmosphere Brewery,Stout - Other,7.5% ABV,20 IBU,3.75
Pavaloka: HBC 1019,Malanka,IPA - Triple New England / Hazy,10% ABV,40 IBU,4.5
Свярдлоўскі дваровы кот,Midnight Project,IPA - American,6.6% ABV,50 IBU,4.25
Krymskaya Riviera (Крымская Ривьера),ПБК Крым (Krym),Lager - Pale,5% ABV,N/A IBU,2.5
Пироги да ягоды (Клубника),White Stone,Stout - Milk / Sweet,6% ABV,11 IBU,4
"Oh, My Milk!",Bierstaat,Stout - Milk / Sweet,5.2% ABV,N/A IBU,4
Dark Velvet,Sozhski Beer,Lager - Dark,5.6% ABV,12 IBU,3
Boom (Бом),Brauning Bier (Браунинг Бир),Belgian Dubbel,6.9% ABV,20 IBU,3.75
The Irishman,Sozhski Beer,Stout - Irish Dry,4% ABV,30 IBU,3.75
"Sour Ale Фейхоа, клубника, мята",Wild Hills Brewery,Sour - Fruited,6% ABV,N/A IBU,4
Аномалия,Atmosphere Brewery,Porter - English,8.6% ABV,30 IBU,3.75
Piarevaracień: Abrykos,Malanka,Stout - Imperial / Double Oatmeal,8% ABV,40 IBU,4.5
Tajfun: Riwaka & Nelson,Malanka,IPA - Imperial / Double New England / Hazy,7.8% ABV,50 IBU,4.25
Mighty Boosh,Boxing Wizard Brewery,Kölsch,4.8% ABV,28 IBU,3.75
Chaliera: Krush,Malanka,IPA - American,6.7% ABV,80 IBU,4
PEPPERONI: Extra Hot Edition,BIERBANK,Sour - Tomato / Vegetable Gose,4.8% ABV,11 IBU,3.5
Boost: Citra & Nelson Sauvin,Jungle Brewery,Pale Ale - New England / Hazy,5.9% ABV,30 IBU,4.25
Rager: HBC-682,Valaduta Brovar,IPA - Imperial / Double,8.5% ABV,70 IBU,4
Mlosć: Perle,Malanka,Pale Ale - American,5.6% ABV,50 IBU,4.25
Howard Loves Cat,Midnight Project,Pale Ale - New England / Hazy,5% ABV,25 IBU,4
Popcorn Trick,Rewort Brewery,Stout - Pastry,7% ABV,15 IBU,4
Imhla: Nelson Amplifire,Malanka,IPA - New England / Hazy,6.6% ABV,40 IBU,4.25
Bavarian IPA,Privatbrauerei Kaiserdom,IPA - Other,5.1% ABV,N/A IBU,3.75
Weissbier Resi - Helles,Privatbrauerei Hösl,Wheat Beer - Hefeweizen,5.3% ABV,15 IBU,3.75
Pilsener,Privatbrauerei Einsiedler Brauhaus,Pilsner - German,4.9% ABV,34 IBU,3.25
Erdinger Brauhaus Helles,Erdinger Weissbräu,Lager - Helles,5.1% ABV,14 IBU,3.5
